objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
Ireland010,Ireland_010.jpg,,Trinity College - The Long Room,image/jpeg,A view of the bust of Francis Bacon and the books that line the walls of the Long Room at Trinity College's library. This view is showing the north side of the library.  ,Amy Archambault,,06-07-2024,,,"Ireland, Dubllin, Trinity College Athenaeum Library","Dublin, Ireland",53.34444039715743,-6.256749556142121,,,,,,,,,,,
Ireland005,Ireland_005.jpg,,"Kilmainham Gaol, panopticon",image/jpeg,"Kilmainham Gaol prison interior, showing the Panopticon structure created by architect, John McCurdy.  This allowed guards to view all 96 jail cells at one time.",Amy Archambault,,06-08-2024,,,"Ireland, Dublin, Kilmainham Gaol","Dublin, Ireland",53.3420174,-6.309901362,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
Ireland004,Ireland_004.jpg,,Streets of Galway,image/jpeg,"View of High Street, facing towards Quay Street and the river, Corrib. One of the main thoroughfares of toursim in Galway, this street has many bars, restuarants, and shopping venues.  The Kings Head Pub is tradtional Irish pub.",Amy Archambault,,06-10-2024,,,"Ireland, Galway","Galway, Ireland",53.272284304148144,-9.053273091013935,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
Ireland006,Ireland_006.jpg,,Bunratty Castle,image/jpeg,"Bunratty Castle, located in County Clare, is one of the oldest castles in Ireland and was built in 1425. Each tower has an observation area and medieval feasts and song are depicted within the castle rooms.",Amy Archambault,,06-10-2024,,,"Bunratty Castle (Ireland), Bunratty Folk Park (Ireland) Maps","Bunratty, County Clare, Ireland",52.70049534711147,-8.812302919387307,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
Ireland002,Ireland_003.jpg,,Mural of Dolores O'Riordan,image/jpeg,Mural of singer Dolores O'Riordan from The Cranberries who died in 2014. She was from Limerick where this photo was taken.,Amy Archambault,,06-10-2024,,,"O'Riordan, Dolores, Rock music, Ireland","Limerick, Ireland",52.67025612,-8.624705945,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
Ireland003,IMG_E0404.JPG,,Cliffs of Moher,image/jpeg,"Radio program episode discusses man's quest for answers, then introduces Robinson and his concept of the Cosmic God-Power. Robinson discusses the God-Power, reads a student letter asking for help, and uses the discovery of the 'cosmic ray' by Professor Milikan as evidence that there is invisible power around us. Robinson claims this Power is for our use and can bring anyone what they desire. Also includes a testimonial from a man claimed to live in Holland.",Amy Archambault,,06-11-2024,,,"Moher, Cliffs of (Ireland) Description and travel, Ireland Cliffs of Moher, Ireland Clare","County Clare, Ireland",52.972052684323856,-9.430796608759703,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
Ireland009,Ireland_009.jpg,,"Landscape, Ring of Kerry",image/jpeg,"View of inlet and landscape along the Ring a Kerry, a circular route that showcases the beauty of County Kerry, Ireland.",Amy Archambault,,06-12-0204,,,"County Kerry (Ireland), Kerry (Ireland) Description and travel","County Kerry, Ireland",51.787028267369195,-10.165228981829904,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
Ireland007,Ireland_007.jpg,,Sneem Tavern,image/jpeg,"View of side entrance and outside seating of Sneem Tavern (permanently closed). Sign on building reads, ""Opening Time is Guiness Time."" ",Amy Archambault,,06-12-0204,,,"Sneem (Ireland), Sneem Region (Kerry)--Description and travel.","County Kerry, Ireland",51.83853161300235,-9.899178743220352,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
Ireland001,IMG_E0678.JPG,,"Muckross House, Killarney",image/jpeg,"Back view of Muckross House, the former residence of Henry Arthur Herbert and his wife and well-known water colorist, Mary Balfour Herbert. ",Amy Archambault,,06-12-0204,,,"Muckross House (Ireland), Killarney (Kerry)","Killarney, County Kerry, Ireland",52.01822803559889,-9.504135802725662,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
Ireland008,Ireland_008.jpg,,Blarney Castle,image/jpeg,Luke Archambault (left) looks up as Milo Archambault points to where people are kissing the Blarney Stone at Blarney Castle.,Amy Archambault,,06-13-0204,,,"Blarney Castle (Blarney, Cork)","Cork, Ireland",51.92931380029464,-8.570991991078728,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,"objectid, filename, title,",,,,,,,,,,,,,,,,,,,,,,,,
,"creator, date, description, subject, and format.",,,,,,,,,,,,,,,,,,,,,,,,
