objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
Ireland010,Ireland_010.jpg,,Trinity College - Library,image/jpeg,,,,06-07-2024,,,,"Dublin, Ireland",53.34444039715743,-6.256749556142121,,,,,,,,,,,
Ireland005,Ireland_005.jpg,,"Kilmainham Goal, Panotoptocon",image/jpeg,,Amy Archambault,,06-08-2024,,,,"Dublin, Ireland",53.3420174,-6.309901362,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
Ireland004,Ireland_004.jpg,,Streets of Galway,image/jpeg,,Amy Archambault,,06-10-2024,,,,"Galway, Ireland",53.272284304148144,-9.053273091013935,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
Ireland006,Ireland_006.jpg,,Bunratty Castle,image/jpeg,,Amy Archambault,,06-10-2024,,,,"Bunratty, County Clare, Ireland",52.70049534711147,-8.812302919387307,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
Ireland002,Ireland_003.jpg,,Mural of Dolores O'Riordan,image/jpeg,Mural of singer Dolores O'Riordan from The Cranberries who died in 2014. She was from Limerick where this photo was taken.,Amy Archambault,,06-10-2024,,,,"Limerick, Ireland",52.67025612,-8.624705945,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
Ireland003,IMG_E0404.JPG,,Cliffs of Moher,image/jpeg,"Radio program episode discusses man's quest for answers, then introduces Robinson and his concept of the Cosmic God-Power. Robinson discusses the God-Power, reads a student letter asking for help, and uses the discovery of the 'cosmic ray' by Professor Milikan as evidence that there is invisible power around us. Robinson claims this Power is for our use and can bring anyone what they desire. Also includes a testimonial from a man claimed to live in Holland.",Amy Archambault,,06-11-2024,,,,"County Clare, Ireland",52.972052684323856,-9.430796608759703,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
Ireland009,Ireland_009.jpg,,"Landscape, Ring of Kerry",image/jpeg,A flyer featuring an illustration of a lighthouse on the coast representing the light of God within the viewer.,Amy Archambault,,06-12-0204,,,,"County Kerry, Ireland",51.787028267369195,-10.165228981829904,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
Ireland007,Ireland_007.jpg,,Sneem Tavern,image/jpeg,"A flyer featuring an untitled illustration of a man standing outside of a restaurant, looking hungrily at food he cannot afford to buy.",Amy Archambault,,06-12-0204,,,,"County Kerry, Ireland",51.83853161300235,-9.899178743220352,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
Ireland001,IMG_E0678.JPG,,"Muckross House, Killarney",image/jpeg,"Short video describing Psychiana, a mail order religion that preached the New Thought Movement. In 1928, Dr. Frank B. Robinson created Psychiana in Moscow, Idaho.",Amy Archambault,,06-12-0204,,,,"Killarney, County Kerry, Ireland",52.01822803559889,-9.504135802725662,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
Ireland008,Ireland_008.jpg,,Blarney Castle,image/jpeg,"Photograph of a brown paper label torn from a package used to mail a photograph from Frank B. Robinson to Alfred B. Robinson, including addresses and postage.",Amy Archambault,,06-13-0204,,,,"Cork, Ireland",51.92931380029464,-8.570991991078728,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,"objectid, filename, title,",,,,,,,,,,,,,,,,,,,,,,,,
,"creator, date, description, subject, and format.",,,,,,,,,,,,,,,,,,,,,,,,
